UserID,Total_Events,Total_Views,Total_AddToCart,Total_Purchases,Avg_Amount,Conversion_Rate
1,82,14,23,8,249.51609748406477,0.2162161577794168
2,73,4,18,13,205.8887477197223,0.5909088223141716
3,64,10,11,6,252.11656539839615,0.28571414965992875
4,83,9,14,9,258.09181757475244,0.3913041776938358
5,84,14,13,7,312.7594779072613,0.25925916323734693
6,83,8,7,16,190.21721181835892,1.0666659555560296
7,76,10,9,12,260.88156591563387,0.6315786149586237
8,70,13,10,12,241.08540375764449,0.5217389035917811
9,82,12,8,16,262.19443479730194,0.7999996000002
10,81,10,7,18,198.1852549961404,1.058822906574761
11,85,14,12,9,135.25053005542927,0.3461537130178027
12,80,10,13,12,169.1351617137832,0.5217389035917811
13,67,11,13,12,293.0302039685903,0.49999979166675346
14,87,10,16,8,280.13445707466855,0.30769218934915793
15,71,11,9,12,266.2528608384145,0.59999970000015
16,77,10,11,9,292.8231694122277,0.4285712244898931
17,75,16,14,13,203.39694911367258,0.433333188888937
18,79,10,12,10,249.90719362296105,0.4545452479339782
19,64,9,5,11,301.64069313800985,0.7857137244901968
20,76,17,10,8,279.2789473295407,0.29629618655696793
21,78,11,14,5,354.02618555920316,0.199999920000032
22,72,13,6,5,244.36922712212726,0.2631577562327599
23,75,12,12,10,287.0409900728072,0.4166664930556279
24,74,8,11,11,268.82116382072405,0.5789470637120717
25,71,9,13,14,195.7239883167887,0.6363633471075695
26,76,18,10,11,293.83520715946287,0.39285700255107053
27,70,8,9,12,208.1153006800539,0.7058819377165072
28,79,14,8,17,269.53624987805057,0.772726921487763
29,77,9,14,12,282.48413772836005,0.5217389035917811
30,80,14,10,9,222.7394275646953,0.3749998437500651
31,73,9,13,7,314.18438730486776,0.31818167355378474
32,80,19,16,13,249.82562438504152,0.37142846530615276
33,74,8,15,9,256.9631330829747,0.3913041776938358
34,72,14,15,6,233.99235384023734,0.20689648038052402
35,77,12,7,13,259.0916193211187,0.6842101662051757
36,81,11,12,9,217.29278110499178,0.3913041776938358
37,74,18,6,9,271.4927170392168,0.3749998437500651
38,80,11,15,10,231.72021206372727,0.3846152366864474
39,77,8,15,14,239.03589019012557,0.6086953875237445
40,73,9,12,12,232.11853031540173,0.5714282993198575
41,70,11,9,6,277.62794282796057,0.299999850000075
42,71,9,10,9,215.59954325923894,0.4736839612189678
43,66,7,9,11,274.8592679657617,0.6874995703127685
44,81,10,14,5,300.09785081358973,0.20833324652781396
45,74,5,14,14,292.44757124071856,0.7368417174517277
46,72,13,10,9,343.91987742943525,0.3913041776938358
47,68,11,7,8,204.1407505517626,0.4444441975310014
48,75,4,11,11,221.8918061352014,0.7333328444447704
49,67,12,9,7,208.48291984229078,0.3333331746032502
50,75,15,6,14,247.88936972193414,0.6666663492065004
51,82,13,15,8,229.1985354622763,0.2857141836735058
52,79,9,12,10,187.75465040699765,0.4761902494332146
53,78,13,14,16,249.0147364152226,0.5925923731139359
54,85,14,6,16,134.58527664648108,0.7999996000002
55,76,11,15,7,204.4948216115766,0.2692306656805132
56,74,11,9,8,261.4244555932316,0.3999998000001
57,69,14,16,12,280.69810298868015,0.3999998666667111
58,66,12,8,7,222.1463407335808,0.3499998250000875
59,71,12,10,11,275.57325411100436,0.49999977272737606
60,80,16,12,8,212.64617735586424,0.2857141836735058
61,62,9,4,10,301.56869613465017,0.7692301775152481
62,80,19,12,9,231.37620591687696,0.29032248699274615
63,71,7,13,9,257.8488851808363,0.4499997750001125
64,76,13,12,12,322.1821135862488,0.4799998080000768
65,85,19,8,14,206.86385215272958,0.5185183264746939
66,75,10,11,10,290.92735543314274,0.4761902494332146
67,76,11,9,12,214.6440475319649,0.59999970000015
68,80,13,11,9,260.40371851279656,0.3749998437500651
69,68,5,11,11,260.74359747467315,0.6874995703127685
70,80,10,14,12,309.8552854856695,0.49999979166675346
71,77,10,10,11,266.0580088047381,0.5499997250001375
72,75,16,12,7,201.28251812086782,0.2499999107143176
73,71,11,14,6,140.2242667208692,0.2399999040000384
74,63,8,11,11,304.1410293228735,0.5789470637120717
75,67,11,12,9,279.32214344245506,0.3913041776938358
76,77,13,15,8,245.29637842293153,0.2857141836735058
77,74,14,7,11,235.53587754895642,0.523809274376536
78,71,12,9,9,259.06308651011625,0.4285712244898931
79,77,7,9,12,179.57469728132517,0.749999531250293
80,65,6,8,13,204.52880636984875,0.9285707653065962
81,71,13,13,8,295.3153660277184,0.30769218934915793
82,75,11,17,8,303.22918849182565,0.2857141836735058
83,75,6,19,7,268.97639392163967,0.2799998880000448
84,77,9,9,11,308.72505303179116,0.611110771605127
85,76,13,14,11,311.7187418258013,0.40740725651583093
86,71,14,8,12,270.5839991141259,0.5454542975207739
87,74,10,11,12,174.2045072851131,0.5714282993198575
88,69,6,8,18,162.59476370715734,1.285713367347595
89,68,13,5,10,249.25599283654637,0.5555552469137517
90,70,13,10,11,259.88481851787776,0.4782606616257993
91,86,13,14,18,241.8997024255833,0.6666664197531779
92,76,10,12,7,243.5300854458537,0.31818167355378474
93,71,11,12,12,203.71674465973715,0.5217389035917811
94,76,10,12,16,225.399394869682,0.7272723966943652
95,70,18,4,6,218.53560207345808,0.27272714876038695
96,69,6,7,10,248.78235948619937,0.7692301775152481
97,86,10,15,7,294.70831664264506,0.2799998880000448
98,78,6,19,10,283.3208215235812,0.399999840000064
99,70,10,6,9,257.31427262710196,0.5624996484377197
100,76,16,9,15,239.43426387089957,0.599999760000096
101,76,9,10,15,203.8197670418012,0.7894732686982796
102,74,8,5,12,248.6880503977459,0.9230762130182977
